juego,plataforma,ano,genero,fabricante,ventas_usa,ventas_europa,ventas_japon,ventas_otro,ventas_globales,score_criticos,num_criticos,score_usuarios,num_usuarios,desarollador,rating
The Sims 2: Castaway,PS2,2007,Simulation,Electronic Arts,0.3,0.01,0.0,0.05,0.37,71.0,17.0,80.0,15.0,EA Redwood Shores,T
NCAA Football 07,PSP,2006,Sports,Electronic Arts,0.34,0.0,0.0,0.03,0.37,75.0,16.0,79.0,11.0,EA Sports,E
Fragile Dreams: Farewell Ruins of the Moon,Wii,2009,Role-Playing,Rising Star Games,0.16,0.12,0.06,0.03,0.36,67.0,41.0,83.0,63.0,Tri-Crescendo,T
GoldenEye: Rogue Agent,GC,2004,Shooter,Electronic Arts,0.28,0.07,0.0,0.01,0.36,60.0,35.0,67.0,14.0,EA LA,T
Need for Speed: The Run,PC,2011,Action,Electronic Arts,0.09,0.21,0.0,0.07,0.36,69.0,18.0,58.0,338.0,Black Box,T
Dragon Ball Z: Infinite World,PS2,2008,Fighting,Namco Bandai Games,0.08,0.06,0.21,0.02,0.36,48.0,17.0,79.0,37.0,Dimps Corporation,T
Elite Beat Agents,DS,2006,Misc,Nintendo,0.3,0.03,0.0,0.03,0.36,87.0,51.0,86.0,105.0,iNiS,E10+
ESPN X Games Skateboarding,PS2,2001,Sports,Konami Digital Entertainment,0.18,0.14,0.0,0.05,0.36,58.0,15.0,78.0,14.0,KCEO,E
Sid Meier's Civilization: Beyond Earth,PC,2014,Strategy,Take-Two Interactive,0.11,0.22,0.0,0.03,0.36,81.0,78.0,55.0,1027.0,Firaxis Games,E10+
Castlevania: Order of Ecclesia,DS,2008,Platform,Konami Digital Entertainment,0.27,0.02,0.04,0.03,0.36,85.0,46.0,87.0,111.0,Konami,T
Left 4 Dead 2,PC,2009,Shooter,Valve Software,0.0,0.32,0.0,0.04,0.36,89.0,55.0,85.0,2530.0,Valve Software,M
Green Day: Rock Band,Wii,2010,Misc,MTV Games,0.22,0.11,0.0,0.03,0.36,76.0,12.0,88.0,11.0,Harmonix Music Systems,T
Star Fox: Zero,WiiU,2016,Shooter,Nintendo,0.17,0.1,0.07,0.03,0.36,69.0,82.0,74.0,662.0,PlatinumGames,E10+
SAW,PS3,2009,Action,Konami Digital Entertainment,0.13,0.17,0.0,0.06,0.36,59.0,41.0,64.0,28.0,Zombie Studios,M
Tom Clancy's HAWX 2,X360,2010,Action,Ubisoft,0.24,0.09,0.01,0.03,0.36,68.0,57.0,63.0,29.0,Ubisoft,T
High Heat Major League Baseball 2004,PS2,2003,Sports,3DO,0.18,0.14,0.0,0.05,0.36,83.0,17.0,81.0,12.0,3DO,E
Robots,PS2,2005,Action,Vivendi Games,0.18,0.14,0.0,0.05,0.36,53.0,6.0,60.0,8.0,Eurocom Entertainment Software,E
NARC,PS2,2005,Shooter,Midway Games,0.18,0.14,0.0,0.05,0.36,50.0,24.0,70.0,21.0,Point of View,M
Dragon Ball Z: Attack of the Saiyans,DS,2009,Role-Playing,Namco Bandai Games,0.12,0.02,0.21,0.01,0.36,73.0,21.0,79.0,24.0,Monolith Soft,E10+
Bionic Commando,PS3,2009,Platform,Capcom,0.12,0.17,0.01,0.06,0.36,71.0,48.0,74.0,62.0,GRIN,M
Monster Rancher 3,PS2,2001,Simulation,Tecmo Koei,0.11,0.09,0.14,0.03,0.36,77.0,13.0,85.0,23.0,Tecmo,E
The Incredibles: Rise of the Underminer,PS2,2005,Action,THQ,0.18,0.14,0.0,0.05,0.36,60.0,12.0,71.0,8.0,Heavy Iron Studios,E10+
Sword Art Online: Lost Song,PSV,2015,Role-Playing,Namco Bandai Games,0.06,0.04,0.23,0.03,0.36,70.0,4.0,71.0,27.0,"Bandai Namco Games, Artdink",T
Hamtaro: Ham-Ham Heartbreak,GBA,2002,Action,Nintendo,0.26,0.1,0.0,0.01,0.36,72.0,7.0,93.0,18.0,Pax Softonica,E
Okage: Shadow King,PS2,2001,Role-Playing,Sony Computer Entertainment,0.14,0.11,0.08,0.04,0.36,70.0,23.0,85.0,14.0,Zener Works,T
BlazBlue: Calamity Trigger,X360,2009,Fighting,PQube,0.21,0.08,0.04,0.03,0.36,86.0,51.0,85.0,70.0,Arc System Works,T
NBA 2K6,XB,2005,Action,Take-Two Interactive,0.27,0.08,0.0,0.01,0.36,84.0,27.0,87.0,15.0,Visual Concepts,E
Marvel Super Hero Squad,Wii,2009,Fighting,THQ,0.3,0.03,0.0,0.03,0.36,49.0,16.0,62.0,14.0,Blue Tongue Entertainment,E10+
The Chronicles of Narnia: Prince Caspian,Wii,2008,Action,Disney Interactive Studios,0.31,0.02,0.0,0.03,0.36,63.0,5.0,71.0,12.0,Traveller's Tales,T
World's Scariest Police Chases,PS,2001,Racing,Activision,0.2,0.14,0.0,0.02,0.36,54.0,16.0,63.0,4.0,UDS,T
MechAssault 2: Lone Wolf,XB,2004,Simulation,Microsoft Game Studios,0.27,0.08,0.0,0.01,0.36,81.0,66.0,75.0,23.0,Day 1 Studios,T
Valkyrie Profile: Lenneth,PSP,2006,Role-Playing,Square Enix,0.17,0.01,0.16,0.02,0.36,80.0,39.0,84.0,57.0,TOSE,T
Just Dance 2016,PS4,2015,Misc,Ubisoft,0.17,0.13,0.0,0.06,0.36,73.0,10.0,68.0,20.0,Ubisoft,E10+
ESPN NFL Football,XB,2003,Sports,Sega,0.27,0.08,0.0,0.01,0.36,91.0,25.0,89.0,45.0,Visual Concepts,E
Rapala Pro Fishing,PS2,2004,Sports,Zoo Digital Publishing,0.18,0.14,0.0,0.05,0.36,59.0,6.0,87.0,32.0,Activision,E
Spider-Man: Shattered Dimensions,X360,2010,Action,Activision,0.24,0.08,0.0,0.03,0.36,76.0,68.0,76.0,96.0,Beenox,T
TMNT,Wii,2007,Action,Ubisoft,0.3,0.03,0.0,0.03,0.36,60.0,17.0,59.0,11.0,Ubisoft Montreal,E10+
Fossil Fighters: Frontier,3DS,2014,Role-Playing,Nintendo,0.08,0.04,0.23,0.01,0.36,57.0,25.0,48.0,19.0,"RED Entertainment, Spike Chunsoft",E10+
Arc the Lad: Twilight of the Spirits,PS2,2003,Role-Playing,Sony Computer Entertainment,0.18,0.14,0.0,0.05,0.36,72.0,39.0,82.0,33.0,Cattle Call,T
Watch Dogs 2,XOne,2016,Action,Ubisoft,0.17,0.16,0.0,0.03,0.36,83.0,9.0,77.0,131.0,Ubisoft Montreal,M
Tiger Woods PGA Tour 09,PSP,2008,Sports,Electronic Arts,0.07,0.18,0.0,0.1,0.36,53.0,4.0,55.0,6.0,Exient Entertainment,E
Harry Potter and the Chamber of Secrets,XB,2002,Action,Electronic Arts,0.27,0.08,0.0,0.01,0.36,77.0,13.0,72.0,12.0,Eurocom Entertainment Software,E
Arctic Thunder,PS2,2001,Racing,Midway Games,0.17,0.14,0.0,0.05,0.36,45.0,23.0,53.0,10.0,Inland Productions,T
ESPN: Sports Connection,WiiU,2012,Sports,Ubisoft,0.2,0.12,0.0,0.03,0.36,31.0,13.0,27.0,18.0,Ubisoft,E
Shrek,XB,2001,Platform,TDK Mediactive,0.25,0.1,0.0,0.01,0.36,49.0,19.0,54.0,9.0,Digital Illusions,T
Dragon's Crown,PSV,2013,Role-Playing,Nippon Ichi Software,0.14,0.05,0.12,0.05,0.35,78.0,15.0,84.0,198.0,Vanillaware,T
Wipeout 2048,PSV,2012,Racing,Sony Computer Entertainment,0.13,0.17,0.0,0.05,0.35,79.0,63.0,82.0,191.0,Studio Liverpool,E10+
Trauma Center: Under the Knife,DS,2005,Simulation,Nintendo,0.3,0.01,0.02,0.03,0.35,81.0,45.0,87.0,45.0,ITL,T
Earth Defense Force 2025,PS3,2013,Shooter,D3Publisher,0.04,0.02,0.27,0.01,0.35,69.0,28.0,75.0,52.0,Sandlot,M
Middle-Earth: Shadow of Mordor,PC,2014,Action,Warner Bros. Interactive Entertainment,0.12,0.2,0.0,0.03,0.35,84.0,17.0,80.0,1671.0,Monolith Productions,M
Suikoden V,PS2,2006,Role-Playing,Konami Digital Entertainment,0.08,0.06,0.19,0.02,0.35,76.0,43.0,76.0,109.0,Konami,T
Tiger Woods PGA Tour 14,X360,2013,Sports,Electronic Arts,0.21,0.12,0.0,0.03,0.35,77.0,28.0,62.0,26.0,EA Tiburon,E
LocoRoco 2,PSP,2008,Platform,Sony Computer Entertainment,0.21,0.09,0.01,0.04,0.35,85.0,55.0,84.0,44.0,SCE Japan Studio,E
Football Manager Handheld 2010,PSP,2009,Sports,Sega,0.0,0.26,0.0,0.09,0.35,69.0,10.0,69.0,7.0,Sports Interactive,E
Batman: Rise of Sin Tzu,PS2,2003,Action,Ubisoft,0.17,0.13,0.0,0.05,0.35,63.0,21.0,83.0,14.0,Ubisoft Montreal,T
Worms: Open Warfare 2,DS,2007,Strategy,THQ,0.07,0.24,0.0,0.04,0.35,81.0,25.0,91.0,22.0,"Team 17, Two Tribes",E10+
Dark Void,PS3,2010,Action,Capcom,0.18,0.12,0.0,0.05,0.35,59.0,50.0,60.0,36.0,Airtight Games,T
Guitar Hero: Smash Hits,PS3,2009,Misc,Activision,0.2,0.11,0.0,0.05,0.35,73.0,34.0,72.0,9.0,Beenox,T
NHL 2K10,Wii,2009,Sports,Take-Two Interactive,0.32,0.01,0.0,0.03,0.35,79.0,8.0,68.0,16.0,Take-Two Interactive,E10+
Bloody Roar 3,PS2,2001,Fighting,Virgin Interactive,0.15,0.11,0.05,0.04,0.35,71.0,20.0,86.0,34.0,Eighting/Raizing,T
WWE Crush Hour,PS2,2003,Racing,THQ,0.17,0.13,0.0,0.04,0.35,56.0,13.0,53.0,8.0,Pacific Coast Power & Light,T
Persona 2: Eternal Punishment,PS,2000,Role-Playing,Atlus,0.03,0.02,0.28,0.02,0.35,83.0,11.0,84.0,25.0,Atlus Co.,T
Homefront: The Revolution,PS4,2016,Shooter,Deep Silver,0.06,0.21,0.03,0.05,0.35,48.0,43.0,38.0,212.0,Deep Silver Dambuster Studios,M
Assassin's Creed III,WiiU,2012,Action,Ubisoft,0.19,0.13,0.0,0.03,0.35,85.0,26.0,71.0,216.0,Ubisoft Quebec,M
One Piece: Burning Blood,PS4,2016,Fighting,Namco Bandai Games,0.11,0.13,0.07,0.05,0.35,66.0,45.0,78.0,49.0,Spike Chunsoft,T
Star Wars: Flight of the Falcon,GBA,2003,Action,THQ,0.25,0.09,0.0,0.01,0.35,39.0,13.0,58.0,11.0,Pocket Studios,E
Teenage Mutant Ninja Turtles: Smash-Up,Wii,2009,Fighting,Ubisoft,0.33,0.0,0.0,0.03,0.35,67.0,34.0,82.0,21.0,Game Arts,E10+
Toukiden: The Age of Demons,PSV,2013,Action,Tecmo Koei,0.04,0.04,0.25,0.02,0.35,71.0,44.0,80.0,136.0,Omega Force,T
Football Manager 2016,PC,2015,Simulation,Sega,0.0,0.33,0.0,0.02,0.35,81.0,34.0,69.0,97.0,Sega,E
Resident Evil: Dead Aim,PS2,2003,Action,Capcom,0.17,0.13,0.0,0.04,0.35,65.0,28.0,66.0,48.0,Cavia Inc.,M
Need for Speed Carbon,GC,2006,Racing,Electronic Arts,0.27,0.07,0.0,0.01,0.35,75.0,12.0,78.0,14.0,EA Canada,E10+
EA Sports MMA,X360,2010,Fighting,Electronic Arts,0.23,0.09,0.0,0.02,0.35,79.0,63.0,70.0,55.0,EA Tiburon,T
Defiance,PS3,2013,Shooter,Trion Worlds,0.19,0.1,0.0,0.06,0.35,59.0,21.0,69.0,145.0,Trion Worlds,M
Terminator Salvation,X360,2009,Shooter,Warner Bros. Interactive Entertainment,0.13,0.18,0.0,0.04,0.35,48.0,50.0,50.0,53.0,GRIN,T
Guilty Gear X2,PS2,2002,Fighting,Sammy Corporation,0.09,0.07,0.16,0.02,0.35,87.0,31.0,87.0,34.0,Arc System Works,T
Chicken Shoot,Wii,2007,Action,Zoo Digital Publishing,0.32,0.0,0.0,0.02,0.35,27.0,9.0,48.0,26.0,Destination Software,E10+
Tom Clancy's Rainbow Six: Lockdown,PS2,2005,Shooter,Ubisoft,0.17,0.13,0.0,0.04,0.35,70.0,15.0,69.0,9.0,"Red Storm Entertainment, Ubisoft Montreal",M
MotoGP 08,X360,2008,Racing,Capcom,0.11,0.2,0.0,0.04,0.35,68.0,20.0,56.0,12.0,Milestone S.r.l,E
LEGO Marvel's Avengers,XOne,2016,Action,Warner Bros. Interactive Entertainment,0.19,0.12,0.0,0.03,0.35,71.0,18.0,51.0,15.0,TT Games,E10+
Aggressive Inline,PS2,2002,Sports,Acclaim Entertainment,0.17,0.13,0.0,0.04,0.35,85.0,31.0,87.0,14.0,"Z-Axis, Ltd.",T
Mirror's Edge Catalyst,PS4,2016,Platform,Electronic Arts,0.11,0.16,0.02,0.05,0.35,69.0,50.0,47.0,578.0,EA DICE,T
Sniper Elite 3,XOne,2014,Shooter,505 Games,0.2,0.11,0.0,0.03,0.35,63.0,12.0,66.0,68.0,Rebellion,M
NFL Street,GC,2004,Sports,Electronic Arts,0.27,0.07,0.0,0.01,0.35,81.0,30.0,80.0,4.0,EA Tiburon,E
Karaoke Revolution,PS2,2003,Misc,Konami Digital Entertainment,0.17,0.13,0.0,0.04,0.35,83.0,29.0,91.0,17.0,Harmonix Music Systems,E
Metal Arms: Glitch in the System,PS2,2003,Shooter,Vivendi Games,0.17,0.13,0.0,0.04,0.35,81.0,28.0,89.0,17.0,Mass Media,T
EverGrace,PS2,2000,Role-Playing,Ubisoft,0.1,0.08,0.15,0.03,0.35,59.0,12.0,78.0,4.0,From Software,T
Enemy Territory: Quake Wars,PS3,2008,Shooter,Activision,0.23,0.07,0.0,0.04,0.35,60.0,30.0,64.0,14.0,"Z-Axis, Ltd.",T
Lunar 2: Eternal Blue Complete,PS,1999,Role-Playing,Kadokawa Shoten,0.19,0.13,0.0,0.02,0.35,86.0,12.0,89.0,37.0,Game Arts,T
MLB 06: The Show,PSP,2006,Sports,Sony Computer Entertainment,0.32,0.0,0.0,0.03,0.35,83.0,30.0,85.0,32.0,SCEA San Diego Studios,E
Over the Hedge,GC,2006,Platform,Activision,0.27,0.07,0.0,0.01,0.35,61.0,21.0,93.0,6.0,Edge of Reality,E10+
Charlie and the Chocolate Factory,PS2,2005,Adventure,Global Star,0.17,0.13,0.0,0.04,0.35,35.0,21.0,41.0,28.0,"High Voltage Software, Backbone Entertainment",E
TrackMania Turbo,PS4,2016,Action,Ubisoft,0.03,0.26,0.0,0.05,0.35,81.0,52.0,79.0,110.0,Nadeo,E
Tiger Woods PGA Tour 12: The Masters,Wii,2011,Sports,Electronic Arts,0.2,0.11,0.0,0.03,0.34,85.0,14.0,67.0,7.0,Electronic Arts,E
Def Jam Icon,X360,2007,Action,Electronic Arts,0.3,0.01,0.0,0.03,0.34,69.0,48.0,63.0,108.0,EA Chicago,M
Dynasty Warriors 5 Empires,PS2,2006,Action,Tecmo Koei,0.11,0.09,0.12,0.03,0.34,62.0,23.0,91.0,24.0,Omega Force,T
Call of Duty: Ghosts,WiiU,2013,Shooter,Activision,0.22,0.09,0.01,0.03,0.34,69.0,6.0,34.0,256.0,Treyarch,M
Transformers: Dark of the Moon,PS3,2011,Action,Activision,0.11,0.18,0.0,0.06,0.34,57.0,41.0,56.0,27.0,High Moon Studios,T
SoulCalibur,DC,1999,Fighting,Namco Bandai Games,0.0,0.0,0.34,0.0,0.34,98.0,24.0,88.0,200.0,Namco,T
WipEout 3,PS,1999,Racing,Psygnosis,0.19,0.13,0.0,0.02,0.34,89.0,14.0,85.0,15.0,Psygnosis,E
WWE '12,Wii,2011,Fighting,THQ,0.23,0.08,0.0,0.03,0.34,74.0,6.0,52.0,9.0,Yuke's,T
WWE All Stars,X360,2011,Fighting,THQ,0.18,0.14,0.0,0.03,0.34,75.0,64.0,72.0,45.0,THQ,T
Mini Ninjas,PS3,2009,Action,Eidos Interactive,0.14,0.15,0.0,0.06,0.34,73.0,37.0,87.0,62.0,Io Interactive,E10+
Tekken Tag Tournament 2,X360,2012,Fighting,Namco Bandai Games,0.19,0.11,0.01,0.03,0.34,83.0,35.0,75.0,90.0,Namco Bandai Games,T
Driver 2 Advance,GBA,2002,Action,Atari,0.25,0.09,0.0,0.01,0.34,73.0,9.0,66.0,14.0,Sennari Interactive,T
Monster Rancher 4,PS2,2003,Simulation,Tecmo Koei,0.08,0.06,0.19,0.02,0.34,77.0,21.0,91.0,18.0,Tecmo,E
Mini Ninjas,DS,2009,Action,Eidos Interactive,0.16,0.15,0.0,0.04,0.34,61.0,10.0,58.0,4.0,Magic Pockets,E10+
Tim Burton's The Nightmare Before Christmas: Oogie's Revenge,PS2,2004,Adventure,Disney Interactive Studios,0.17,0.13,0.0,0.04,0.34,65.0,34.0,86.0,20.0,Capcom,E10+
Battalion Wars 2,Wii,2007,Strategy,Nintendo,0.22,0.02,0.08,0.02,0.34,75.0,38.0,76.0,45.0,Kuju Entertainment,T
MotorStorm: Arctic Edge,PS2,2009,Racing,Sony Computer Entertainment,0.07,0.03,0.0,0.25,0.34,72.0,10.0,83.0,6.0,Virtuos,T
Hitman: Contracts,XB,2004,Shooter,Eidos Interactive,0.26,0.07,0.0,0.01,0.34,78.0,44.0,88.0,15.0,Io Interactive,M
Supreme Commander 2,X360,2010,Strategy,Square Enix,0.23,0.09,0.0,0.03,0.34,75.0,28.0,71.0,23.0,Gas Powered Games,E10+
Thunderstrike: Operation Phoenix,PS2,2001,Simulation,Eidos Interactive,0.17,0.13,0.0,0.04,0.34,65.0,15.0,81.0,7.0,Core Design Ltd.,T
Racquet Sports,PS3,2010,Sports,Ubisoft,0.11,0.17,0.0,0.06,0.34,45.0,17.0,43.0,8.0,Asobo Studio,E
Company of Heroes 2,PC,2013,Strategy,THQ,0.06,0.25,0.0,0.04,0.34,80.0,82.0,21.0,6157.0,Relic,M
Trauma Center: Second Opinion,Wii,2006,Simulation,Nintendo,0.28,0.01,0.03,0.03,0.34,80.0,49.0,80.0,47.0,Atlus,T
WWE Day of Reckoning 2,GC,2005,Fighting,THQ,0.26,0.07,0.0,0.01,0.34,76.0,36.0,60.0,263.0,Yuke's,T
The Urbz: Sims in the City,XB,2004,Simulation,Electronic Arts,0.22,0.11,0.0,0.01,0.34,70.0,28.0,65.0,10.0,Maxis,T
Rayman Legends,XOne,2014,Platform,Ubisoft,0.13,0.18,0.0,0.03,0.34,91.0,6.0,79.0,218.0,Ubisoft Montpellier,E10+
SpongeBob SquarePants: The Yellow Avenger,DS,2005,Action,THQ,0.31,0.0,0.0,0.02,0.34,67.0,5.0,76.0,10.0,Tantatus,E
Monopoly,PS3,2008,Misc,Electronic Arts,0.25,0.05,0.0,0.04,0.34,54.0,4.0,67.0,13.0,Electronic Arts,E
SimCity Creator,DS,2008,Simulation,Electronic Arts,0.29,0.02,0.0,0.03,0.34,69.0,16.0,73.0,8.0,Electronic Arts,E
Tenchu Z,X360,2006,Action,Microsoft Game Studios,0.27,0.02,0.02,0.03,0.34,56.0,51.0,73.0,58.0,K2 LLC,M
Conan,PS3,2007,Action,THQ,0.13,0.15,0.0,0.05,0.34,69.0,35.0,72.0,40.0,Nihilistic,M
Leisure Suit Larry: Magna Cum Laude,PS2,2004,Adventure,Vivendi Games,0.17,0.13,0.0,0.04,0.34,60.0,44.0,63.0,18.0,High Voltage Software,M
MVP 06 NCAA Baseball,XB,2006,Sports,Electronic Arts,0.25,0.07,0.0,0.01,0.34,75.0,29.0,86.0,17.0,EA Canada,E
Naruto Shippuden: Ultimate Ninja Impact,PSP,2011,Fighting,Namco Bandai Games,0.09,0.07,0.15,0.04,0.34,59.0,16.0,72.0,26.0,Racjin,T
F.E.A.R.,X360,2006,Shooter,Vivendi Games,0.28,0.03,0.0,0.03,0.34,85.0,44.0,73.0,131.0,Day 1 Studios,M
Tom Clancy's Ghost Recon: Shadow Wars,3DS,2011,Strategy,Ubisoft,0.22,0.09,0.0,0.03,0.34,77.0,49.0,79.0,78.0,Ubisoft,T
Herbie: Fully Loaded,GBA,2005,Racing,Disney Interactive Studios,0.24,0.09,0.0,0.01,0.34,47.0,9.0,68.0,4.0,Buena Vista Interactive,E
Teenage Mutant Ninja Turtles,GC,2003,Action,Konami Digital Entertainment,0.26,0.07,0.0,0.01,0.34,57.0,25.0,80.0,8.0,Konami,E
Kameo: Elements of Power,X360,2005,Action,Microsoft Game Studios,0.28,0.03,0.0,0.03,0.34,79.0,76.0,81.0,107.0,Rare Ltd.,T
Dynasty Warriors 6 Empires,PS3,2009,Action,Tecmo Koei,0.14,0.03,0.15,0.02,0.34,62.0,22.0,70.0,26.0,Omega Force,T
The Shoot,PS3,2010,Shooter,Sony Computer Entertainment,0.13,0.15,0.01,0.05,0.34,60.0,39.0,62.0,11.0,Cohort Studios,T
Puzzle Quest: Challenge of the Warlords,DS,2007,Puzzle,D3Publisher,0.28,0.0,0.03,0.02,0.34,82.0,41.0,87.0,32.0,1st Playable Productions,E10+
Dynasty Warriors: Gundam 2,PS2,2008,Action,Namco Bandai Games,0.04,0.03,0.25,0.01,0.34,52.0,8.0,65.0,8.0,Omega Force,T
Star Ocean: Second Evolution,PSP,2008,Role-Playing,Square Enix,0.14,0.01,0.16,0.02,0.34,75.0,37.0,71.0,26.0,TOSE,T
MXRider,PS2,2001,Racing,Atari,0.16,0.13,0.0,0.04,0.34,69.0,16.0,68.0,6.0,Paradigm Entertainment,E
Delta Force: Black Hawk Down,XB,2005,Shooter,NovaLogic,0.25,0.07,0.0,0.01,0.34,61.0,37.0,66.0,19.0,Climax Group,T
Pirates of the Caribbean: At World's End,X360,2007,Action,Disney Interactive Studios,0.29,0.02,0.0,0.03,0.34,58.0,42.0,53.0,21.0,Eurocom Entertainment Software,T
The Eye of Judgment,PS3,2007,Misc,Sony Computer Entertainment,0.28,0.0,0.02,0.03,0.33,75.0,43.0,82.0,51.0,SCEJ,T
Tom Clancy's Ghost Recon Advanced Warfighter,XB,2006,Shooter,Ubisoft,0.21,0.11,0.0,0.01,0.33,66.0,14.0,60.0,27.0,Ubisoft Shanghai,T
NHL 09,PS3,2008,Sports,Electronic Arts,0.29,0.02,0.0,0.03,0.33,88.0,25.0,77.0,41.0,EA Canada,E10+
World of Final Fantasy,PS4,2016,Role-Playing,Square Enix,0.08,0.14,0.08,0.04,0.33,77.0,74.0,83.0,222.0,Square Enix,E10+
Banjo-Kazooie: Grunty's Revenge,GBA,2003,Platform,THQ,0.24,0.09,0.0,0.01,0.33,72.0,21.0,81.0,18.0,Rare Ltd.,E
NHL 17,PS4,2016,Sports,Electronic Arts,0.19,0.08,0.0,0.06,0.33,78.0,26.0,58.0,67.0,"EA Canada, EA Vancouver",E10+
Mega Man ZX Advent,DS,2007,Platform,Capcom,0.22,0.0,0.09,0.02,0.33,78.0,27.0,86.0,32.0,Inti Creates,E10+
NCAA Basketball 10,PS3,2009,Sports,Electronic Arts,0.31,0.0,0.0,0.03,0.33,75.0,17.0,78.0,6.0,EA Canada,E
Jeanne d'Arc,PSP,2006,Role-Playing,Sony Computer Entertainment,0.21,0.0,0.1,0.02,0.33,87.0,45.0,82.0,74.0,Level 5,T
Harry Potter and the Deathly Hallows - Part 2,X360,2011,Action,Electronic Arts,0.19,0.11,0.0,0.03,0.33,44.0,31.0,54.0,24.0,EA Bright Light,T
Avatar: The Last Airbender,DS,2006,Adventure,THQ,0.3,0.01,0.0,0.03,0.33,64.0,9.0,64.0,7.0,TOSE,E
Ape Escape Academy,PSP,2004,Misc,Sony Computer Entertainment,0.13,0.15,0.0,0.05,0.33,51.0,48.0,58.0,4.0,Shift,E10+
WWE Wrestlemania XIX,GC,2003,Fighting,THQ,0.26,0.07,0.0,0.01,0.33,76.0,26.0,87.0,47.0,Yuke's,T
The Sims 2,GC,2005,Simulation,Electronic Arts,0.26,0.07,0.0,0.01,0.33,73.0,22.0,83.0,8.0,Maxis,T
Hulk,XB,2003,Action,Universal Interactive,0.25,0.07,0.0,0.01,0.33,69.0,25.0,77.0,9.0,Radical Entertainment,T
Untold Legends: The Warriors Code,PSP,2006,Role-Playing,Ubisoft,0.14,0.12,0.0,0.08,0.33,65.0,46.0,83.0,28.0,Sony Online Entertainment,T
Klonoa 2: Lunatea's Veil,PS2,2001,Platform,Sony Computer Entertainment,0.12,0.1,0.08,0.03,0.33,91.0,18.0,91.0,72.0,Namco,E
Deus Ex: Invisible War,XB,2003,Shooter,Eidos Interactive,0.25,0.07,0.0,0.01,0.33,84.0,50.0,76.0,37.0,Ion Storm,M
The King of Fighters XIII,X360,2011,Fighting,Rising Star Games,0.23,0.06,0.01,0.03,0.33,79.0,31.0,82.0,51.0,SNK Playmore,T
Tak 2: The Staff of Dreams,GC,2004,Platform,THQ,0.26,0.07,0.0,0.01,0.33,75.0,22.0,86.0,8.0,Avalanche Software,E
Fracture,X360,2008,Shooter,LucasArts,0.15,0.14,0.0,0.04,0.33,63.0,60.0,62.0,45.0,Day 1 Studios,T
Ninja Blade,X360,2009,Action,Microsoft Game Studios,0.14,0.14,0.02,0.03,0.33,68.0,65.0,68.0,55.0,From Software,M
LEGO Batman 2: DC Super Heroes,PSV,2012,Action,Warner Bros. Interactive Entertainment,0.16,0.11,0.0,0.06,0.33,62.0,9.0,67.0,46.0,TT Games,E10+
Bee Movie Game,Wii,2007,Action,Activision,0.3,0.01,0.0,0.03,0.33,62.0,16.0,76.0,7.0,Smart Bomb Interactive,E
Kelly Slater's Pro Surfer,PS2,2002,Sports,Activision,0.16,0.13,0.0,0.04,0.33,77.0,19.0,84.0,15.0,Treyarch,E
Sniper: Ghost Warrior 2,PS3,2013,Shooter,City Interactive,0.05,0.18,0.03,0.07,0.33,52.0,15.0,60.0,82.0,City Interactive,M
Legends of Wrestling II,PS2,2002,Fighting,Acclaim Entertainment,0.16,0.13,0.0,0.04,0.33,59.0,15.0,67.0,6.0,Acclaim,T
Virtua Tennis 2009,X360,2009,Sports,Sega,0.12,0.18,0.0,0.03,0.33,70.0,43.0,62.0,15.0,Sumo Digital,E
Street Fighter Alpha 3 MAX,PSP,2006,Fighting,Capcom,0.27,0.01,0.02,0.03,0.33,80.0,35.0,80.0,27.0,Capcom,T
MLB 09: The Show,PS2,2009,Sports,Sony Computer Entertainment,0.16,0.13,0.0,0.04,0.33,79.0,7.0,75.0,12.0,SCEA San Diego Studios,E
Classic NES Series: Castlevania,GBA,2004,Platform,Nintendo,0.17,0.06,0.09,0.01,0.33,74.0,10.0,86.0,12.0,Konami,E
Fight Night Round 3,XB,2006,Fighting,Electronic Arts,0.26,0.06,0.0,0.01,0.33,83.0,32.0,90.0,21.0,EA Chicago,T
Way of the Samurai 2,PS2,2003,Action,Capcom,0.05,0.04,0.23,0.01,0.33,59.0,32.0,90.0,24.0,Acquire,M
Planet Puzzle League,DS,2007,Puzzle,Nintendo,0.14,0.01,0.16,0.01,0.33,86.0,25.0,82.0,15.0,Intelligent Systems,E
Naruto: Rise of a Ninja,X360,2007,Action,Ubisoft,0.29,0.01,0.0,0.03,0.33,78.0,35.0,86.0,84.0,Ubisoft Montreal,T
Cabela's Dangerous Hunts 2011,PS3,2010,Sports,Activision,0.26,0.04,0.0,0.03,0.33,60.0,4.0,54.0,9.0,Activision,T
Disgaea 2: Cursed Memories,PS2,2006,Role-Playing,Tecmo Koei,0.09,0.07,0.15,0.02,0.33,84.0,54.0,64.0,42.0,Nippon Ichi Software,T
Clock Tower 3,PS2,2002,Adventure,Capcom,0.1,0.08,0.12,0.03,0.33,69.0,28.0,76.0,38.0,SunSoft,M
Etrian Odyssey,DS,2007,Role-Playing,Nintendo,0.19,0.02,0.09,0.02,0.33,75.0,30.0,85.0,37.0,"Lancarse, Atlus",T
Call Of Duty 2: Big Red One,GC,2005,Shooter,Activision,0.25,0.07,0.0,0.01,0.33,76.0,28.0,79.0,14.0,Treyarch,T
